TableName,FieldName,IsTextToDate
concept,concept_id,0
concept,concept_name,0
concept,domain_id,0
concept,vocabulary_id,0
concept,concept_class_id,0
concept,standard_concept,0
concept,concept_code,0
concept,valid_start_date,1
concept,valid_end_date,1
concept,invalid_reason,0
concept_ancestor,ancestor_concept_id,0
concept_ancestor,descendant_concept_id,0
concept_ancestor,min_levels_of_separation,0
concept_ancestor,max_levels_of_separation,0
concept_class,concept_class_id,0
concept_class,concept_class_name,0
concept_class,concept_class_concept_id,0
concept_relationship,concept_id_1,0
concept_relationship,concept_id_2,0
concept_relationship,relationship_id,0
concept_relationship,valid_start_date,1
concept_relationship,valid_end_date,1
concept_relationship,invalid_reason,0
concept_synonym,concept_id,0
concept_synonym,concept_synonym_name,0
concept_synonym,language_concept_id,0
"""domain""",domain_id,0
"""domain""",domain_name,0
"""domain""",domain_concept_id,0
drug_strength,drug_concept_id,0
drug_strength,ingredient_concept_id,0
drug_strength,amount_value,0
drug_strength,amount_unit_concept_id,0
drug_strength,numerator_value,0
drug_strength,numerator_unit_concept_id,0
drug_strength,denominator_value,0
drug_strength,denominator_unit_concept_id,0
drug_strength,box_size,0
drug_strength,valid_start_date,1
drug_strength,valid_end_date,1
drug_strength,invalid_reason,0
relationship,relationship_id,0
relationship,relationship_name,0
relationship,is_hierarchical,0
relationship,defines_ancestry,0
relationship,reverse_relationship_id,0
relationship,relationship_concept_id,0
vocabulary,vocabulary_id,0
vocabulary,vocabulary_name,0
vocabulary,vocabulary_reference,0
vocabulary,vocabulary_version,0
vocabulary,vocabulary_concept_id,0
location,location_id,0
location,address_1,0
location,address_2,0
location,city,0
location,state,0
location,zip,0
location,county,0
location,location_source_value,0
location,country_concept_id,0
location,country_source_value,0
location,latitude,0
location,longitude,0
care_site,care_site_id,0
care_site,care_site_name,0
care_site,place_of_service_concept_id,0
care_site,location_id,0
care_site,care_site_source_value,0
care_site,place_of_service_source_value,0
provider,provider_id,0
provider,provider_name,0
provider,npi,0
provider,dea,0
provider,specialty_concept_id,0
provider,care_site_id,0
provider,year_of_birth,0
provider,gender_concept_id,0
provider,provider_source_value,0
provider,specialty_source_value,0
provider,specialty_source_concept_id,0
provider,gender_source_value,0
provider,gender_source_concept_id,0
person,person_id,0
person,gender_concept_id,0
person,year_of_birth,0
person,month_of_birth,0
person,day_of_birth,0
person,birth_datetime,0
person,race_concept_id,0
person,ethnicity_concept_id,0
person,location_id,0
person,provider_id,0
person,care_site_id,0
person,person_source_value,0
person,gender_source_value,0
person,gender_source_concept_id,0
person,race_source_value,0
person,race_source_concept_id,0
person,ethnicity_source_value,0
person,ethnicity_source_concept_id,0
observation_period,observation_period_id,0
observation_period,person_id,0
observation_period,observation_period_start_date,0
observation_period,observation_period_end_date,0
observation_period,period_type_concept_id,0
visit_occurrence,visit_occurrence_id,0
visit_occurrence,person_id,0
visit_occurrence,visit_concept_id,0
visit_occurrence,visit_start_date,0
visit_occurrence,visit_start_datetime,0
visit_occurrence,visit_end_date,0
visit_occurrence,visit_end_datetime,0
visit_occurrence,visit_type_concept_id,0
visit_occurrence,provider_id,0
visit_occurrence,care_site_id,0
visit_occurrence,visit_source_value,0
visit_occurrence,visit_source_concept_id,0
visit_occurrence,admitted_from_concept_id,0
visit_occurrence,admitted_from_source_value,0
visit_occurrence,discharged_to_concept_id,0
visit_occurrence,discharged_to_source_value,0
visit_occurrence,preceding_visit_occurrence_id,0
condition_occurrence,condition_occurrence_id,0
condition_occurrence,person_id,0
condition_occurrence,condition_concept_id,0
condition_occurrence,condition_start_date,0
condition_occurrence,condition_start_datetime,0
condition_occurrence,condition_end_date,0
condition_occurrence,condition_end_datetime,0
condition_occurrence,condition_type_concept_id,0
condition_occurrence,condition_status_concept_id,0
condition_occurrence,stop_reason,0
condition_occurrence,provider_id,0
condition_occurrence,visit_occurrence_id,0
condition_occurrence,visit_detail_id,0
condition_occurrence,condition_source_value,0
condition_occurrence,condition_source_concept_id,0
condition_occurrence,condition_status_source_value,0
drug_exposure,drug_exposure_id,0
drug_exposure,person_id,0
drug_exposure,drug_concept_id,0
drug_exposure,drug_exposure_start_date,0
drug_exposure,drug_exposure_start_datetime,0
drug_exposure,drug_exposure_end_date,0
drug_exposure,drug_exposure_end_datetime,0
drug_exposure,verbatim_end_date,0
drug_exposure,drug_type_concept_id,0
drug_exposure,stop_reason,0
drug_exposure,refills,0
drug_exposure,quantity,0
drug_exposure,days_supply,0
drug_exposure,sig,0
drug_exposure,route_concept_id,0
drug_exposure,lot_number,0
drug_exposure,provider_id,0
drug_exposure,visit_occurrence_id,0
drug_exposure,visit_detail_id,0
drug_exposure,drug_source_value,0
drug_exposure,drug_source_concept_id,0
drug_exposure,route_source_value,0
drug_exposure,dose_unit_source_value,0
procedure_occurrence,procedure_occurrence_id,0
procedure_occurrence,person_id,0
procedure_occurrence,procedure_concept_id,0
procedure_occurrence,procedure_date,0
procedure_occurrence,procedure_datetime,0
procedure_occurrence,procedure_end_date,0
procedure_occurrence,procedure_end_datetime,0
procedure_occurrence,procedure_type_concept_id,0
procedure_occurrence,modifier_concept_id,0
procedure_occurrence,quantity,0
procedure_occurrence,provider_id,0
procedure_occurrence,visit_occurrence_id,0
procedure_occurrence,visit_detail_id,0
procedure_occurrence,procedure_source_value,0
procedure_occurrence,procedure_source_concept_id,0
procedure_occurrence,modifier_source_value,0
measurement,measurement_id,0
measurement,person_id,0
measurement,measurement_concept_id,0
measurement,measurement_date,0
measurement,measurement_datetime,0
measurement,measurement_time,0
measurement,measurement_type_concept_id,0
measurement,operator_concept_id,0
measurement,value_as_number,0
measurement,value_as_concept_id,0
measurement,unit_concept_id,0
measurement,range_low,0
measurement,range_high,0
measurement,provider_id,0
measurement,visit_occurrence_id,0
measurement,visit_detail_id,0
measurement,measurement_source_value,0
measurement,measurement_source_concept_id,0
measurement,unit_source_value,0
measurement,unit_source_concept_id,0
measurement,value_source_value,0
measurement,measurement_event_id,0
measurement,meas_event_field_concept_id,0
observation,observation_id,0
observation,person_id,0
observation,observation_concept_id,0
observation,observation_date,0
observation,observation_datetime,0
observation,observation_type_concept_id,0
observation,value_as_number,0
observation,value_as_string,0
observation,value_as_concept_id,0
observation,qualifier_concept_id,0
observation,unit_concept_id,0
observation,provider_id,0
observation,visit_occurrence_id,0
observation,visit_detail_id,0
observation,observation_source_value,0
observation,observation_source_concept_id,0
observation,unit_source_value,0
observation,qualifier_source_value,0
observation,value_source_value,0
observation,observation_event_id,0
observation,obs_event_field_concept_id,0
